SampleID	BarcodeSequence	LinkerPrimerSequence	sample_number_Demetra	well_location	plate_number	report_folder_name	field_sample_number	date_collected	site	plant_community	oiled_unoiled	month	season	genotype	zone	Total.C1.C3.chrysenes	Total.C1.C4.naphthalenes	Total.C1.C4.phenanthrenes	Total.C1.C3.dibenzothiophenes	Total.relevant.PAHs	naphthalene.weathering.ratio	phenanthrene.weathering.ratio	dibenzothiophene.weathering.ratio	Latitude	Longitude	Position	Description
S2.28	NNNNNNNN	AAAAAAAA	B1	C4	1	28-C4-14798821	ML1-3	11/20/2013	F	SALT	O	November	FALL	NA	ML1	NA	NA	NA	NA	NA	NA	NA	NA	29.133391	-90.14534	30	Soil
S2.29	NNNNNNNN	AAAAAAAA	C1	C5	1	29-C5-14798822	ML1-8	11/20/2013	F	SALT	O	November	FALL	NA	ML1	0.075	0.095	0.1	0.11	0.38	0.558823529	0.571428571	0.594594595	29.133364	-90.145339	10	Soil
S2.2	NNNNNNNN	AAAAAAAA	B	A2	1	2-Final Library-674493-12883876	ML2-3	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	0.075	0.095	0.1	0.06	0.33	0.558823529	0.571428571	0.444444444	29.13343	-90.145595	30	Soil
S2.30	NNNNNNNN	AAAAAAAA	D1	C6	1	30-C6-14821851	ML1-4	11/20/2013	F	SALT	O	November	FALL	NA	ML1	NA	NA	NA	NA	NA	NA	NA	NA	29.133391	-90.14534	30	Soil
S2.34	NNNNNNNN	AAAAAAAA	H1	C10	1	34-C10-14824847	ML1-7	11/20/2013	F	SALT	O	November	FALL	NA	ML1	0.075	0.095	0.1	0.13	0.4	0.558823529	0.571428571	0.634146341	29.133364	-90.145339	10	Soil
S2.37	NNNNNNNN	AAAAAAAA	K1	D1	1	37-D1-14824848	ML2-1	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.029069767	0.040697674	0.03875969	0.029069767	0.137596899	0.583333333	0.571428571	0.5	29.13343	-90.145595	40	Soil
S2.41	NNNNNNNN	AAAAAAAA	O1	D5	1	41-D5-14824849	BJ 5E	1/19/2013	BJ	SALT	O	January	WINTER	5	E	NA	NA	NA	NA	NA	NA	NA	NA	29.44341	-89.88676	364	Soil
S2.46	NNNNNNNN	AAAAAAAA	T1	D10	1	46-D10-14823879	ML1-9b	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.026785714	0.041071429	0.035714286	0.026785714	0.130357143	0.605263158	0.571428571	0.5	29.133361	-90.145345	10	Soil
S2.47	NNNNNNNN	AAAAAAAA	U1	D11	1	47-D11-14823880	BJ 7E	1/19/2013	BJ	SALT	O	January	WINTER	7	E	0.022189349	0.029585799	0.029585799	0.022189349	0.103550296	0.571428571	0.571428571	0.5	29.44334	-89.8867	377	Soil
S2.50	NNNNNNNN	AAAAAAAA	X1	E2	1	50-E2-14828855	BJ 4B	1/19/2013	BJ	SALT	O	January	WINTER	4	B	0.030991736	0.041322314	0.041322314	0.030991736	0.144628099	0.571428571	0.571428571	0.5	29.44449	-89.88913	112	Soil
S2.53	NNNNNNNN	AAAAAAAA	A2	E5	1	53-E5-14828857	ML1-8	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.022865854	0.039634146	0.06554878	0.024390244	0.152439024	0.634146341	0.74137931	0.516129032	29.133364	-90.145339	10	Soil
S2.55	NNNNNNNN	AAAAAAAA	C2	E7	1	55-E7-14828859	ML1-2	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.015822785	0.024261603	0.021097046	0.015822785	0.077004219	0.605263158	0.571428571	0.5	29.133472	-90.145354	40	Soil
