SampleID	BarcodeSequence	LinkerPrimerSequence	sample_number_Demetra	well_location	plate_number	report_folder_name	field_sample_number	date_collected	site	plant_community	oiled_unoiled	month	season	genotype	zone	Total.C1.C3.chrysenes	Total.C1.C4.naphthalenes	Total.C1.C4.phenanthrenes	Total.C1.C3.dibenzothiophenes	Total.relevant.PAHs	naphthalene.weathering.ratio	phenanthrene.weathering.ratio	dibenzothiophene.weathering.ratio	Latitude	Longitude	Position	Description
S2.127	NNNNNNNN	AAAAAAAA	B6	C7	2	127-C7-14823849	ML2-10	12/3/2013	F	SALT	O	December	FALL	NA	ML2	2.858585859	0.23989899	2.171717172	1.037878788	6.308080808	0.077424613	0.431726908	0.266364226	29.133364	-90.145498	0	Soil
S2.122	NNNNNNNN	AAAAAAAA	L5	C2	2	122-C2-14823844	ML1-2	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.020380435	0.028532609	0.036684783	0.020380435	0.105978261	0.583333333	0.642857143	0.5	29.133472	-90.145354	40	Soil
S2.129	NNNNNNNN	AAAAAAAA	D6	C9	2	129-C9-14823851	ML2-7	12/3/2013	F	SALT	O	December	FALL	NA	ML2	0.075	0.085	0.1	0.06	0.32	0.53125	0.571428571	0.444444444	29.133371	-90.145493	10	Soil
S2.130	NNNNNNNN	AAAAAAAA	E6	C10	2	130-C10-14823853	MM-2	12/3/2013	F	SALT	O	December	FALL	NA	MM	0.035046729	0.046728972	0.275700935	0.035046729	0.392523364	0.571428571	0.887218045	0.5	29.133351	-90.145388	10	Soil
S2.131	NNNNNNNN	AAAAAAAA	F6	C11	2	131-C11-14823854	ML2-6	12/3/2013	F	SALT	O	December	FALL	NA	ML2	0.032894737	0.085526316	0.098684211	0.043859649	0.260964912	0.722222222	0.75	0.571428571	29.133379	-90.145524	20	Soil
S2.133	NNNNNNNN	AAAAAAAA	H6	D1	2	133-combined-14823856	MM-1	12/3/2013	F	SALT	O	December	FALL	NA	MM	0.050675676	0.077702703	0.084459459	0.050675676	0.263513514	0.605263158	0.625	0.5	29.133341	-90.145361	0	Soil
S2.136	NNNNNNNN	AAAAAAAA	K6	D4	2	136-D4-14823859	ML2-8	12/3/2013	F	SALT	O	December	FALL	NA	ML2	0.024834437	0.034768212	0.054635762	0.036423841	0.150662252	0.583333333	0.6875	0.594594595	29.133371	-90.145493	10	Soil
S2.137	NNNNNNNN	AAAAAAAA	L6	D5	2	137-combined-14828841	MM-3	12/3/2013	F	SALT	O	December	FALL	NA	MM	0.869458128	0.033251232	5.21182266	2.002463054	8.116995074	0.036834925	0.857027136	0.697255575	29.133358	-90.145421	20	Soil
S2.13	NNNNNNNN	AAAAAAAA	M	B1	1	13-B1-14823852	MM-4	7/10/2013	F	SALT	O	July	SUMMER	NA	MM	3.63	0.16	1.035	0.27	5.095	0.042216359	0.221864952	0.069230769	29.133354	-90.145454	30	Soil
S2.143	NNNNNNNN	AAAAAAAA	R6	D11	2	143-D11-14823865	BJ 5D	11/15/2013	BJ	SALT	O	November	FALL	5	D	74.08108108	1.297297297	34.89189189	8.594594595	118.8648649	0.01721047	0.320188492	0.103955541	29.44357	-89.88705	318	Soil
S2.146	NNNNNNNN	AAAAAAAA	W6	E2	2	146-E2-14828844	BJ 3E	11/15/2013	BJ	SALT	O	November	FALL	3	E	0.8	0.093333333	0.603333333	0.06	1.556666667	0.104477612	0.429928741	0.069767442	29.44329	-89.88662	388	Soil
S2.15	NNNNNNNN	AAAAAAAA	O	B3	1	15-B3-14823866	ML1-2	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	0.075	0.095	0.225	0.06	0.455	0.558823529	0.75	0.444444444	29.133472	-90.145354	40	Soil
S2.16	NNNNNNNN	AAAAAAAA	P	B4	1	16-B4-14798810	ML1-8	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	NA	NA	NA	NA	NA	NA	NA	NA	29.133364	-90.145339	10	Soil
S2.22	NNNNNNNN	AAAAAAAA	V	B10	1	22-B10-14828851	ML1-6	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	0.075	0.125	0.1	0.07	0.37	0.625	0.571428571	0.482758621	29.133392	-90.145346	20	Soil
S2.23	NNNNNNNN	AAAAAAAA	W	B11	1	23-B11-14823869	ML1-9	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	5.8	10.3	573.06	2.37	591.53	0.639751553	0.989980306	0.290085679	29.133361	-90.145345	10	Soil
S2.26	NNNNNNNN	AAAAAAAA	Z	C2	1	26-C2-14823870	ML1-6	11/20/2013	F	SALT	O	November	FALL	NA	ML1	NA	NA	NA	NA	NA	NA	NA	NA	29.133392	-90.145346	20	Soil
S2.38	NNNNNNNN	AAAAAAAA	L1	D2	1	38-D2-14821852	ML1-5	11/20/2013	F	SALT	O	November	FALL	NA	ML1	0.075	0.095	0.1	0.06	0.33	0.558823529	0.571428571	0.444444444	29.133392	-90.145346	20	Soil
S2.39	NNNNNNNN	AAAAAAAA	M1	D3	1	39-D3-14823873	ML1-10	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.022727273	0.053030303	0.03030303	0.022727273	0.128787879	0.7	0.571428571	0.5	29.133361	-90.145345	0	Soil
S2.48	NNNNNNNN	AAAAAAAA	V1	D12	1	48-D12-14821854	ML1-10	11/20/2013	F	SALT	O	November	FALL	NA	ML1	0.075	0.085	0.1	0.06	0.32	0.53125	0.571428571	0.444444444	29.133361	-90.145345	0	Soil
S2.4	NNNNNNNN	AAAAAAAA	D	A4	1	4-A4-14823874	ML2-7	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	NA	NA	NA	NA	NA	NA	NA	NA	29.133371	-90.145493	10	Soil
S2.51	NNNNNNNN	AAAAAAAA	Y1	E3	1	51-E3-14828856	MM-2	1/18/2013	F	SALT	O	January	WINTER	NA	MM	0.018382353	0.039215686	0.094362745	0.018382353	0.170343137	0.680851064	0.836956522	0.5	29.133351	-90.145388	10	Soil
S2.52	NNNNNNNN	AAAAAAAA	Z1	E4	1	52-E4-14823882	ML2-5	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.032838983	0.026483051	0.194915254	0.092161017	0.346398305	0.446428571	0.855813953	0.737288136	29.133379	-90.145524	20	Soil
S2.8	NNNNNNNN	AAAAAAAA	H	A8	1	8-A8-14823890	ML1-3	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	NA	NA	NA	NA	NA	NA	NA	NA	29.133391	-90.14534	30	Soil
S2.92	NNNNNNNN	AAAAAAAA	O3	H8	1	92-H8-14798834	ML2-9	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.022189349	0.127218935	0.159763314	0.022189349	0.331360947	0.851485149	0.87804878	0.5	29.133371	-90.145493	10	Soil
S2.94	NNNNNNNN	AAAAAAAA	Q3	H10	1	94-H10-14798836	MM-4	1/18/2013	F	SALT	O	January	WINTER	NA	MM	1.550359712	0.323741007	10.3057554	3.561151079	15.74100719	0.172744722	0.869235437	0.69669247	29.133354	-90.145454	30	Soil
S2.120	NNNNNNNN	AAAAAAAA	H5	B12	2	120-B12-14823843	ML2-6	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.020833333	0.047222222	0.376388889	0.131944444	0.576388889	0.693877551	0.947552448	0.863636364	29.133379	-90.145524	20	Soil
S2.27	NNNNNNNN	AAAAAAAA	A1	C3	1	27-C3-14823871	ML1-1	11/20/2013	F	SALT	O	November	FALL	NA	ML1	NA	NA	NA	NA	NA	NA	NA	NA	29.133472	-90.145354	40	Soil
S2.31	NNNNNNNN	AAAAAAAA	E1	C7	1	31-C7-14798823	ML1-1	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.01744186	0.023255814	0.023255814	0.01744186	0.081395349	0.571428571	0.571428571	0.5	29.133472	-90.145354	40	Soil
S2.3	NNNNNNNN	AAAAAAAA	C	A3	1	3-A3-14824846	ML1-4	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	0.075	0.105	0.1	0.06	0.34	0.583333333	0.571428571	0.444444444	29.133391	-90.14534	30	Soil
S2.71	NNNNNNNN	AAAAAAAA	S2	F11	1	71-F11-14823888	ML1-9	11/20/2013	F	SALT	O	November	FALL	NA	ML1	NA	NA	NA	NA	NA	NA	NA	NA	29.133361	-90.145345	10	Soil
S2.106	NNNNNNNN	AAAAAAAA	N4	A10	2	106-A10-14823830	MM-3	8/9/2012	F	SALT	O	August	SUMMER	NA	MM	0.463768116	0.101449275	1.996376812	0.777173913	3.338768116	0.179487179	0.811487482	0.626277372	29.133358	-90.145421	20	Soil
S2.61	NNNNNNNN	AAAAAAAA	I2	F1	1	61-F1-14823883	BJ 5B	6/26/2013	BJ	SALT	O	June	SUMMER	5	B	0.075	0.095	0.1	0.05	0.32	0.558823529	0.571428571	0.4	29.4444	-89.88888	125	Soil
S2.76	NNNNNNNN	AAAAAAAA	X2	G4	1	76-combined-14828863	BJ 3C	1/19/2013	BJ	SALT	O	January	WINTER	3	C	0.028195489	0.037593985	0.037593985	0.028195489	0.131578947	0.571428571	0.571428571	0.5	29.44409	-89.88808	213	Soil
S2.102	NNNNNNNN	AAAAAAAA	J4	A6	2	102-A6-14828839	ML1-4	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.012417219	0.016556291	0.016556291	0.012417219	0.05794702	0.571428571	0.571428571	0.5	29.133391	-90.14534	30	Soil
S2.105	NNNNNNNN	AAAAAAAA	M4	A9	2	105-A9-14824833	ML2-3	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.011645963	0.020186335	0.054347826	0.011645963	0.097826087	0.634146341	0.823529412	0.5	29.133382	-90.145518	30	Soil
S2.10	NNNNNNNN	AAAAAAAA	J	A10	1	10-A10-14828838	ML1-7	7/10/2013	F	SALT	O	July	SUMMER	NA	ML1	0.075	0.095	0.1	0.06	0.33	0.558823529	0.571428571	0.444444444	29.133364	-90.145339	10	Soil
S2.110	NNNNNNNN	AAAAAAAA	R4	B2	2	110-B2-14798805	ML2-1	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.047680412	0.079896907	0.283505155	0.117268041	0.528350515	0.626262626	0.856031128	0.7109375	29.13343	-90.145595	40	Soil
S2.113	NNNNNNNN	AAAAAAAA	U4	B5	2	113-B5-14823835	ML1-3	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.013837638	0.037822878	0.051660517	0.013837638	0.117158672	0.732142857	0.788732394	0.5	29.133391	-90.14534	30	Soil
S2.117	NNNNNNNN	AAAAAAAA	D5	B9	2	117-B9-14823839	ML2-4	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.025862069	0.036206897	0.034482759	0.025862069	0.122413793	0.583333333	0.571428571	0.5	29.133382	-90.145518	30	Soil
S2.121	NNNNNNNN	AAAAAAAA	K5	C1	2	121-C1-14824835	ML2-10	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.025337838	0.033783784	0.048986486	0.025337838	0.133445946	0.571428571	0.659090909	0.5	29.133364	-90.145498	0	Soil
S2.123	NNNNNNNN	AAAAAAAA	P5	C3	2	123-C3-14823845	ML2-8	8/9/2012	F	SALT	O	August	SUMMER	NA	ML2	0.032894737	0.043859649	0.140350877	0.032894737	0.25	0.571428571	0.810126582	0.5	29.133371	-90.145493	10	Soil
S2.134	NNNNNNNN	AAAAAAAA	I6	D2	2	134-D2-14823857	ML2-5	12/3/2013	F	SALT	O	December	FALL	NA	ML2	0.023148148	0.030864198	0.171296296	0.023148148	0.24845679	0.571428571	0.880952381	0.5	29.133379	-90.145524	20	Soil
S2.135	NNNNNNNN	AAAAAAAA	J6	D3	2	135-D3-14823858	ML2-2	12/3/2013	F	SALT	O	December	FALL	NA	ML2	0.021802326	0.029069767	0.036337209	0.021802326	0.109011628	0.571428571	0.625	0.5	29.13343	-90.145595	40	Soil
S2.35	NNNNNNNN	AAAAAAAA	I1	C11	1	35-C11-14823872	ML1-6	1/18/2013	F	SALT	O	January	WINTER	NA	ML1	0.026785714	0.035714286	0.035714286	0.026785714	0.125	0.571428571	0.571428571	0.5	29.133392	-90.145346	20	Soil
S2.81	NNNNNNNN	AAAAAAAA	D3	G9	1	81-combined-14823892	ML2-6	1/18/2013	F	SALT	O	January	WINTER	NA	ML2	0.024193548	0.032258065	0.032258065	0.025806452	0.114516129	0.571428571	0.571428571	0.516129032	29.133379	-90.145524	20	Soil
S2.9	NNNNNNNN	AAAAAAAA	I	A9	1	9-A9-14823895	ML2-9	7/10/2013	F	SALT	O	July	SUMMER	NA	ML2	NA	NA	NA	NA	NA	NA	NA	NA	29.133371	-90.145493	10	Soil
S2.108	NNNNNNNN	AAAAAAAA	P4	A12	2	108-A12-14823832	MM-2	8/9/2012	F	SALT	O	August	SUMMER	NA	MM	0.161202186	0.079234973	0.56010929	0.258196721	1.058743169	0.329545455	0.776515152	0.615635179	29.133351	-90.145388	10	Soil
S2.104	NNNNNNNN	AAAAAAAA	L4	A8	2	104-A8-14824832	ML1-1	8/9/2012	F	SALT	O	August	SUMMER	NA	ML1	0.022189349	0.103550296	0.128698225	0.029585799	0.284023669	0.823529412	0.852941176	0.571428571	29.133472	-90.145354	40	Soil
